S.No,Lat.,Lon.,pH,EC dS/m,Sand %,Silt %,Clay %,Textural Class,OC g/kg,Av.N kg/ha,Av.P  kg/ha,Av.K kg/ha,District 
26,12.227589,78.613215,7.4,0.1,62,13.4,24.6,SCL,12.7,169.3,10.7,368.5,Krisnagiri
27,12.183419,78.603894,7,0.6,75.4,4,20.6,SCL,4.8,141.1,15,96.1,Krisnagiri
28,12.21138,78.545067,8.1,0.2,47.4,22.6,30,SCL,2.4,181.9,12.9,157.3,Krisnagiri
29,12.287711,78.608215,7.6,0.3,60,4.6,35.4,SC,9.1,97.2,9,117.8,Krisnagiri
30,12.467297,78.43298,7.2,0.6,79.4,6.6,14,SL,3.8,144.3,50.7,48.6,Krisnagiri
31,12.467866,78.37367,7.1,1.8,67.4,8.6,24,SCL,4,247.7,25.6,127.6,Krisnagiri
32,12.467448,78.315072,7.3,0.4,63.4,8.6,28,SCL,3.2,175.6,39.6,102.6,Krisnagiri
33,12.52766,78.372831,7,0.6,67.4,8,24.6,SCL,2,144.3,30,58.5,Krisnagiri
34,12.527686,78.313016,6.8,0.5,65.4,8.6,26,SCL,2.8,122.3,10.2,93.8,Krisnagiri
35,12.425377,78.450769,6.8,0.5,61.4,8,30.6,SCL,8.5,172.5,35.9,362.1,Krisnagiri
36,12.459752,78.460533,6.8,1.2,58.8,13.2,28,SCL,12.3,175.6,18.3,105,Krisnagiri
37,12.485834,78.434315,7,0.4,63.4,16.6,20,SCL,7.1,194.4,60.2,151.2,Krisnagiri
38,12.481451,78.411893,7.2,1.1,63.4,12,24.6,SCL,4.2,150.5,14.7,136.6,Krisnagiri
39,12.492311,78.391348,6.9,0.8,69.4,8,22.6,SCL,8.9,169.3,31.4,56.5,Krisnagiri
40,12.51269,78.374308,7.1,0.8,54,16,30,SCL,1.2,219.5,25,174.7,Krisnagiri
41,12.554878,78.365345,5.9,0.2,62.8,9.2,28,SCL,6.9,307.3,27.5,465.6,Krisnagiri
42,12.565845,78.344198,6.8,0.1,64,9.4,26.6,SCL,4.2,150.5,19.3,246.6,Krisnagiri
43,12.490072,78.320175,6.9,0.2,55.4,8,36.6,SCL,9.1,159.9,23.5,280,Krisnagiri
44,12.425265,78.367106,7.7,0.1,72.8,9.2,18,SL,6.3,156.8,23.9,115.1,Krisnagiri
45,12.594697,78.339985,6.7,0.1,67.4,10,22.6,SCL,5.7,166.2,20,83.5,Krisnagiri
46,12.563697,78.373893,6.7,0.2,65.4,8,26.6,SCL,13.9,178.8,44.3,328.5,Krisnagiri
47,12.524387,78.422684,6.8,0.1,75.4,6,18.6,SL,10.9,150.5,40.8,82.2,Krisnagiri
48,12.647469,78.193178,8,0.2,69.4,8,22.6,SCL,8.9,185,14.3,155,Krisnagiri
49,12.527559,78.012848,7.8,0.2,61.4,8,30.6,SCL,5.5,131.7,5.6,158.9,Krisnagiri
50,12.587925,77.953246,7.2,0.1,73.4,4,22.6,SCL,5.1,153.7,4.6,94.8,Krisnagiri
51,12.588072,78.012783,6.3,0.1,75.4,4,20.6,SCL,5.7,131.7,14.6,151.2,Krisnagiri
52,12.588655,78.072173,7.5,0.2,46.8,22,31.2,SCL,8.1,169.3,93.6,907,Krisnagiri
53,12.591689,78.132191,6.5,0.2,75.4,4,20.6,SCL,4,138,16,75.9,Krisnagiri
54,12.587697,78.193094,7.6,0.1,68,8,24,SCL,4.6,178.8,60.7,116.5,Krisnagiri
55,12.587872,78.252715,6.9,0.1,80,1.4,18.6,SL,4.4,159.9,20.9,172.5,Krisnagiri
56,12.587287,78.311396,6.4,0.1,74,8,18,SL,3.2,172.5,4.1,104.5,Krisnagiri
57,12.527477,78.252998,7.8,0.2,63.4,8,28.6,SCL,12.3,144.3,48.3,269.9,Krisnagiri
58,12.519748,78.187572,7.6,0.2,61.4,8,30.6,SCL,3.4,169.3,39.1,168.7,Krisnagiri
59,12.527777,78.133061,7.8,0.2,68,8,24,SCL,4.2,134.8,19.4,113.4,Krisnagiri
60,12.46773,78.133127,7.4,0.7,68,8,24,SCL,12.1,150.5,85.8,998,Krisnagiri
61,12.467658,78.193011,7.5,0.3,60,7.4,32.6,SCL,6.5,159.9,14.9,294,Krisnagiri
62,12.467644,78.253056,7.2,0.2,66,14,20,SCL,10.3,128.6,17.7,185.4,Krisnagiri
62,12.467115,78.0233,7.3,0.1,73.4,6.6,20,SCL,5.3,122.3,84.3,261.7,Krisnagiri
64,12.533672,78.064942,7.3,0.1,70,6,24,SCL,3.8,166.2,12.9,428.5,Krisnagiri
65,12.457345,78.075846,7,0.2,72,6,22,SCL,4.6,138,18.2,92.5,Krisnagiri
66,12.827542,77.833023,6.8,1.5,56.8,14,29.2,SCL,4.8,200.7,32.1,131,Krisnagiri
67,12.827502,77.89302,6.4,0.1,73.4,4,22.6,SCL,4.6,156.8,58.5,108,Krisnagiri
68,12.827534,77.953122,6.7,0.1,75.4,2,22.6,SCL,9.7,191.3,30.6,244.9,Krisnagiri
69,12.827642,78.013046,6,1.5,47.4,10,42.6,SC,9.5,238.3,41.1,289.9,Krisnagiri
70,12.767319,77.773239,6.6,0.2,57.4,8,34.6,SCL,8.7,247.7,39.4,107.6,Krisnagiri
71,12.76939,77.833738,6.7,1.7,59.4,12,28.6,SCL,6.1,191.3,63.4,191.7,Krisnagiri
72,12.767008,77.892768,6.3,1.3,47.4,12.6,40,SC,16.6,225.8,63,616.8,Krisnagiri
73,12.763466,77.954638,6.1,0.8,67.4,8.6,24,SCL,5.5,197.6,44,213.9,Krisnagiri
74,12.768421,78.068569,6.5,1.5,57.4,6,36.6,SC,9.9,188.2,56.2,361,Krisnagiri
75,12.76997,78.013285,7,1.1,64.8,3.2,32,SCL,6.7,169.3,31.9,215.4,Krisnagiri
76,12.707848,77.772797,6.1,0.9,53.4,10.6,36,SC,14.3,210.1,51.9,169.6,Krisnagiri
77,12.708954,77.834114,6.6,0.1,51.4,8,40.6,SC,3.4,235.2,16.5,118.1,Krisnagiri
78,12.708192,77.894649,6.2,1.4,47.4,12.6,40,SC,18.8,279.1,14.2,181.8,Krisnagiri
79,12.707625,77.953166,6.8,1.1,35.4,10,54.6,C,14.5,163.1,104.4,428.5,Krisnagiri
80,12.648328,77.892317,6.1,1.5,52,12,36,SC,7.5,188.2,25.7,109.8,Krisnagiri
81,12.647972,77.833087,6.9,1.2,70,4,26,SCL,4.6,203.8,107.4,103.5,Krisnagiri
82,12.647345,77.772972,6.9,0.2,69.4,8,22.6,SCL,8.5,141.1,73.1,140.6,Krisnagiri
83,12.647802,77.713011,6.4,0.2,60,12,28,SCL,5.5,222.7,27.8,191,Krisnagiri
84,12.587309,77.832803,6.5,0.3,50,10,40,SC,7.7,185,31.9,320,Krisnagiri
85,12.645139,78.077102,7.1,0,79.4,2,18.6,SL,4,144.3,11.2,126.7,Krisnagiri
86,12.647762,78.01052,7.6,0.6,62,7.4,30.6,SCL,7.9,191.3,16.7,225.6,Krisnagiri
87,12.647458,77.952982,7.3,0.3,50,14,36,SC,7.9,153.7,18.2,163.5,Krisnagiri
88,12.704217,78.010066,7.2,0.4,66,12,22,SCL,11.7,210.1,35.9,282.6,Krisnagiri
89,12.707583,78.071897,7.5,0.2,59.4,20,20.6,SCL,9.5,175.6,24.3,366.7,Krisnagiri
90,12.769341,78.07252,7.9,0.2,60,10,30,SCL,7.9,109.8,35.9,161.6,Krisnagiri
91,12.767769,78.132813,7.2,0.2,64.8,8,27.2,SCL,2.6,119.2,12.1,140.9,Krisnagiri
92,12.75597,78.176386,7.8,0.2,64,10,26,SCL,10.1,156.8,18.9,74.8,Krisnagiri
93,12.725789,78.1554,7.1,0.2,65.4,6,28.6,SCL,6.9,175.6,30.1,141,Krisnagiri
94,12.707155,78.133012,7.7,0.2,77.4,4,18.6,SL,1.8,94.1,53.2,62.7,Krisnagiri
95,12.68829,78.13946,7.8,0.2,51.4,8,40.6,SC,6.1,150.5,9.5,173.8,Krisnagiri
96,12.647629,78.133105,7.2,0.1,60,8,32,SCL,10.9,181.9,11.3,130.9,Krisnagiri
97,12.708112,78.19286,7.8,0.2,75.4,8,16.6,SL,6.1,166.2,27,124.7,Krisnagiri
98,12.708114,78.250735,7.3,0.1,69.4,8,22.6,SL,5.1,125.4,84.4,185,Krisnagiri
99,12.621667,78.185545,7.7,0.2,37.4,16,46.6,C,3.6,150.5,19.8,111.7,Krisnagiri
100,12.589162,77.651905,6.9,0.2,49.4,6,44.6,SC,6.3,210.1,95.9,202.2,Krisnagiri
101,12.587657,77.713021,6.2,0.2,57.4,10,32.6,SCL,9.3,197.6,29.6,138.2,Krisnagiri
102,12.584274,77.774027,6.4,0.2,57.4,20,22.6,SCL,6.5,175.6,13.4,92.4,Krisnagiri
103,12.527531,77.592937,5.9,0.1,64,6,30,SCL,6.3,191.3,38.4,116.8,Krisnagiri
104,12.528247,77.653549,7.3,0.1,53.4,8,38.6,SC,7.9,185,91.7,196.7,Krisnagiri
105,12.527479,77.713106,7,0.3,29.4,18,52.6,C,13.3,194.4,62,373.8,Krisnagiri
106,12.527458,77.77329,6.6,0.2,67.4,12,20.6,SCL,8.1,153.7,33.9,122.9,Krisnagiri
107,12.467729,77.713055,5.8,0.1,66.8,6,27.2,SCL,4.8,147.4,26.8,81.5,Krisnagiri
108,12.467744,77.77224,7.1,0.2,63.4,8,28.6,SCL,4.6,134.8,28.8,118.8,Krisnagiri
109,12.467564,77.83275,6,0.1,70,8,22,SCL,6.3,163.1,16.1,140.5,Krisnagiri
110,12.407698,77.773158,5.7,0.1,63.4,8.6,28,SCL,5.7,213.2,12.2,183.5,Krisnagiri
111,12.47347,77.890751,6.9,0.2,65.4,2,32.6,SCL,14.3,185,10.7,164.5,Krisnagiri
112,12.297917,77.815933,6.3,0.2,69.4,6.6,24,SCL,3.2,163.1,31,79.7,Krisnagiri
113,12.279953,77.77282,6.3,0.1,48,8,44,SC,7.5,197.6,35.9,308.1,Krisnagiri
114,12.527481,77.833036,5.9,0.2,72,4,24,SCL,6.9,128.6,2.4,66.1,Krisnagiri
115,12.455275,77.670852,6.7,0.1,72,6,22,SCL,4.6,144.3,21.3,191.5,Krisnagiri
116,12.5813,77.891053,7.3,0.2,63.4,16,20.6,SCL,5.3,141.1,10.7,118.2,Krisnagiri
117,12.546937,77.886812,6.9,0.6,65.4,6,28.6,SCL,1.6,131.7,29.8,161.9,Krisnagiri
118,12.271874,77.54365,6.8,0.2,62,28,10,SCL,5.1,220,18.2,178,Krisnagiri
119,12.267614,77.622746,6.5,0.2,68,2,30,SCL,7.1,260,12.1,185,Krisnagiri
120,12.304607,77.617976,7.1,0.3,49,9,42,SC ,5.6,282,136.6,172,Krisnagiri
121,12.243337,77.73634,7.3,0.4,74,6,20,SCL,6.1,265,12.1,182,Krisnagiri
122,12.420565,77.665122,7.1,0.2,69,8,23,SCL,4.2,272,15.4,195,Krisnagiri
123,12.361287,77.704693,6.6,0.1,55,17,28,SCL,6.3,228,28.2,242,Krisnagiri
124,12.37374,77.891739,6.3,0.1,49,19,32,SCL,7.3,240,13.2,232,Krisnagiri
125,12.415631,77.938293,6.2,0.2,47,11,42,SC,6.2,160,18,95,Krisnagiri
