date,reservoir,full_depth_ft,full_capacity_mcft,level_ft,storage_mcft,inflow_cusecs,outflow_cusecs,last_year_level_ft,last_year_storage_mcft,storage_percentage
12-06-2023,Bhavanisagar,105,32800,54.45,6351,95,103,52.77,5874,19.36
12-06-2023,Manimuthar,118,5511,64.32,1209,2263,2254,67.83,1381,21.94
12-06-2023,Mettur,120,93470,81.85,35915,361,243,82.94,37121,38.42
12-06-2023,Papanasam,143,5500,73.24,1033,33,27,71.41,969,18.78
12-06-2023,Vaigai,71,6091,21.42,305,575,329,21.42,305,5.01
13-06-2023,Amaravathi,90,4047,39.11,504,197,153,39.34,511,12.45
13-06-2023,Bhavanisagar,105,32800,53.21,5996,48,43,53.81,6168,18.28
13-06-2023,Manimuthar,118,5511,62.93,1145,1195,1210,63.51,1171,20.78
13-06-2023,Mettur,120,93470,76.45,30283,96,64,75.21,29069,32.4
13-06-2023,Papanasam,143,5500,70.72,946,91,87,68.26,866,17.2
13-06-2023,Vaigai,71,6091,21.42,305,529,323,22.17,332,5.01
14-06-2023,Amaravathi,90,4047,38.68,490,303,152,36.29,418,12.11
14-06-2023,Bhavanisagar,105,32800,47.44,4499,983,606,49.21,4932,13.72
14-06-2023,Manimuthar,118,5511,58.88,969,1090,664,55.61,840,17.58
14-06-2023,Mettur,120,93470,84.69,39114,142,114,85.62,40198,41.85
14-06-2023,Papanasam,143,5500,70.56,941,565,506,66.28,804,17.11
14-06-2023,Vaigai,71,6091,21.42,305,881,589,21.42,305,5.01
15-06-2023,Amaravathi,90,4047,36.78,432,395,313,34.57,370,10.67
15-06-2023,Bhavanisagar,105,32800,47.2,4443,669,502,46.96,4387,13.55
15-06-2023,Manimuthar,118,5511,64.89,1236,1890,949,68.45,1412,22.43
15-06-2023,Mettur,120,93470,80.73,34693,30,25,77.43,31264,37.12
15-06-2023,Papanasam,143,5500,70.19,928,177,134,68.75,881,16.87
15-06-2023,Vaigai,71,6091,21.42,305,498,534,21.42,305,5.01
16-06-2023,Amaravathi,90,4047,36.51,424,525,357,35.01,382,10.48
16-06-2023,Bhavanisagar,105,32800,51.2,5446,460,318,51.79,5603,16.6
16-06-2023,Manimuthar,118,5511,62.23,1113,765,757,60.28,1028,20.2
16-06-2023,Mettur,120,93470,79.81,33713,737,563,76.05,29891,36.07
16-06-2023,Papanasam,143,5500,72.67,1013,629,442,74.39,1074,18.42
16-06-2023,Vaigai,71,6091,21.42,305,759,707,21.58,310,5.01
17-06-2023,Amaravathi,90,4047,38.95,499,334,213,39.11,504,12.33
17-06-2023,Bhavanisagar,105,32800,48.71,4807,3492,2657,51.08,5413,14.66
17-06-2023,Manimuthar,118,5511,66.17,1298,943,926,64.14,1200,23.55
17-06-2023,Mettur,120,93470,80.56,34521,437,227,84.38,38760,36.93
17-06-2023,Papanasam,143,5500,72.84,1019,1187,1017,75.27,1106,18.53
17-06-2023,Vaigai,71,6091,21.42,305,2350,2146,22.4,341,5.01
18-06-2023,Amaravathi,90,4047,37.86,465,109,98,38.99,500,11.49
18-06-2023,Bhavanisagar,105,32800,49.27,4947,146,109,47.57,4531,15.08
18-06-2023,Manimuthar,118,5511,62.48,1124,1380,898,62.13,1109,20.4
18-06-2023,Mettur,120,93470,83.22,37433,239,194,83.68,37957,40.05
18-06-2023,Papanasam,143,5500,73.11,1028,239,226,70.46,937,18.69
18-06-2023,Vaigai,71,6091,21.42,305,219,149,22.13,330,5.01
19-06-2023,Amaravathi,90,4047,36.17,414,74,57,34.23,361,10.23
19-06-2023,Bhavanisagar,105,32800,49.72,5060,0,0,51.71,5582,15.43
19-06-2023,Manimuthar,118,5511,66.62,1320,652,669,66.82,1330,23.95
19-06-2023,Mettur,120,93470,78.25,32092,130,140,80.77,34741,34.33
19-06-2023,Papanasam,143,5500,75.38,1110,967,950,78.21,1217,20.18
19-06-2023,Vaigai,71,6091,21.42,305,225,188,21.42,305,5.01
20-06-2023,Amaravathi,90,4047,36.06,411,479,388,37.83,464,10.16
20-06-2023,Bhavanisagar,105,32800,48.88,4850,82,44,50.17,5176,14.79
20-06-2023,Manimuthar,118,5511,65.73,1276,237,129,65.29,1255,23.15
20-06-2023,Mettur,120,93470,83.02,37213,59,36,78.29,32136,39.81
20-06-2023,Papanasam,143,5500,69.1,893,67,63,72.2,996,16.24
20-06-2023,Vaigai,71,6091,21.42,305,132,108,21.42,305,5.01
21-06-2023,Amaravathi,90,4047,38.52,485,509,432,38.06,471,11.98
21-06-2023,Bhavanisagar,105,32800,50.72,5318,1691,1282,48.31,4711,16.21
21-06-2023,Manimuthar,118,5511,63.34,1163,984,510,63.99,1193,21.1
21-06-2023,Mettur,120,93470,81.68,35731,251,184,79.39,33280,38.23
21-06-2023,Papanasam,143,5500,71.9,986,673,394,75.51,1114,17.93
21-06-2023,Vaigai,71,6091,21.42,305,250,177,21.42,305,5.01
22-06-2023,Amaravathi,90,4047,38.67,490,362,360,40.13,537,12.11
22-06-2023,Bhavanisagar,105,32800,46.56,4295,300,261,47.76,4577,13.09
22-06-2023,Manimuthar,118,5511,65.28,1255,216,144,64.81,1232,22.77
22-06-2023,Mettur,120,93470,80.15,34079,211,174,76.58,30408,36.46
22-06-2023,Papanasam,143,5500,72.09,993,578,558,74.1,1063,18.05
22-06-2023,Vaigai,71,6091,21.42,305,664,473,21.86,320,5.01
23-06-2023,Amaravathi,90,4047,37.27,447,133,122,36.32,419,11.05
23-06-2023,Bhavanisagar,105,32800,50.22,5188,75,39,53.07,5958,15.82
23-06-2023,Manimuthar,118,5511,64.26,1206,282,265,65.34,1257,21.88
23-06-2023,Mettur,120,93470,83.76,38046,1037,564,88.45,43603,40.7
23-06-2023,Papanasam,143,5500,72.64,1011,2198,1250,73.33,1036,18.38
23-06-2023,Vaigai,71,6091,21.42,305,836,764,21.42,305,5.01
24-06-2023,Amaravathi,90,4047,36.61,427,827,527,34.31,363,10.55
24-06-2023,Bhavanisagar,105,32800,51.76,5596,267,204,52.83,5891,17.06
24-06-2023,Manimuthar,118,5511,65.24,1253,1640,1244,68.88,1435,22.74
24-06-2023,Mettur,120,93470,79.62,33514,3,2,81.56,35594,35.86
24-06-2023,Papanasam,143,5500,73.57,1044,1326,1441,73.68,1048,18.98
24-06-2023,Vaigai,71,6091,21.42,305,18,13,21.42,305,5.01
25-06-2023,Amaravathi,90,4047,36.61,427,803,483,34.81,377,10.55
25-06-2023,Bhavanisagar,105,32800,49.28,4951,455,462,51.38,5494,15.09
25-06-2023,Manimuthar,118,5511,65,1241,155,143,65.27,1254,22.52
25-06-2023,Mettur,120,93470,82.73,36882,835,803,78.32,32169,39.46
25-06-2023,Papanasam,143,5500,72.86,1019,1136,859,72.17,995,18.53
25-06-2023,Vaigai,71,6091,21.42,305,402,371,21.42,305,5.01
26-06-2023,Amaravathi,90,4047,37.12,442,413,217,39.13,504,10.92
26-06-2023,Bhavanisagar,105,32800,50.36,5226,422,460,51.87,5625,15.93
26-06-2023,Manimuthar,118,5511,63.78,1184,980,1036,65.52,1266,21.48
26-06-2023,Mettur,120,93470,79.21,33090,1272,1111,77.58,31411,35.4
26-06-2023,Papanasam,143,5500,73.71,1049,2723,1780,69.61,909,19.07
26-06-2023,Vaigai,71,6091,21.42,305,743,624,21.42,305,5.01
27-06-2023,Amaravathi,90,4047,36.26,417,805,558,35.46,394,10.3
27-06-2023,Bhavanisagar,105,32800,49.92,5112,182,149,52.75,5867,15.59
27-06-2023,Manimuthar,118,5511,66.44,1311,957,517,64.02,1195,23.79
27-06-2023,Mettur,120,93470,80.52,34475,42,28,78.81,32667,36.88
27-06-2023,Papanasam,143,5500,70.92,953,1081,942,74.68,1084,17.33
27-06-2023,Vaigai,71,6091,21.42,305,781,642,21.42,305,5.01
28-06-2023,Amaravathi,90,4047,40.08,536,101,61,41.76,593,13.24
28-06-2023,Bhavanisagar,105,32800,48.48,4751,4,2,46.9,4373,14.48
28-06-2023,Manimuthar,118,5511,59.97,1015,29,20,59.96,1014,18.42
28-06-2023,Mettur,120,93470,83.19,37407,1396,1093,79.26,33138,40.02
28-06-2023,Papanasam,143,5500,71.8,982,434,239,69.7,912,17.85
28-06-2023,Vaigai,71,6091,21.42,305,690,464,21.42,305,5.01
29-06-2023,Amaravathi,90,4047,36.84,434,189,137,38.42,482,10.72
29-06-2023,Bhavanisagar,105,32800,51.83,5615,1093,767,53.81,6167,17.12
29-06-2023,Manimuthar,118,5511,65.69,1274,152,91,65.76,1277,23.12
29-06-2023,Mettur,120,93470,84.44,38828,799,764,85.06,39541,41.54
29-06-2023,Papanasam,143,5500,71.95,988,86,54,68.42,871,17.96
29-06-2023,Vaigai,71,6091,21.42,305,109,96,22.35,339,5.01
30-06-2023,Amaravathi,90,4047,36.39,421,736,376,37.4,451,10.4
30-06-2023,Bhavanisagar,105,32800,48.78,4824,45,27,49.1,4904,14.71
30-06-2023,Manimuthar,118,5511,61.07,1062,566,588,60.88,1054,19.27
30-06-2023,Mettur,120,93470,81.19,35189,473,357,76.35,30179,37.65
30-06-2023,Papanasam,143,5500,74.09,1063,723,629,75.89,1128,19.33
30-06-2023,Vaigai,71,6091,21.42,305,904,903,22.37,339,5.01
01-07-2023,Amaravathi,90,4047,45.36,730,600,592,47.74,830,18.04
01-07-2023,Bhavanisagar,105,32800,57.56,7298,309,231,56.7,7028,22.25
01-07-2023,Manimuthar,118,5511,75.58,1809,1752,1850,71.73,1588,32.83
01-07-2023,Mettur,120,93470,98.02,56361,102,52,99.6,58667,60.3
01-07-2023,Papanasam,143,5500,84.22,1464,1588,1630,85.65,1527,26.62
01-07-2023,Vaigai,71,6091,21.42,305,840,853,21.42,305,5.01
02-07-2023,Amaravathi,90,4047,42.2,609,562,513,44.08,679,15.05
02-07-2023,Bhavanisagar,105,32800,55.95,6799,101,108,52.87,5902,20.73
02-07-2023,Manimuthar,118,5511,74.77,1761,798,602,73.19,1670,31.95
02-07-2023,Mettur,120,93470,95.28,52511,2143,1392,94.25,51099,56.18
02-07-2023,Papanasam,143,5500,84.59,1480,292,300,85.01,1499,26.91
02-07-2023,Vaigai,71,6091,21.42,305,617,483,21.42,305,5.01
03-07-2023,Amaravathi,90,4047,44.43,693,208,218,46.06,758,17.12
03-07-2023,Bhavanisagar,105,32800,58.36,7554,317,215,57.08,7147,23.03
03-07-2023,Manimuthar,118,5511,73.46,1685,921,461,77.43,1922,30.58
03-07-2023,Mettur,120,93470,91.21,47077,1267,807,86.39,41102,50.37
03-07-2023,Papanasam,143,5500,86.08,1546,2129,1115,85.01,1499,28.11
03-07-2023,Vaigai,71,6091,21.42,305,1839,1107,21.42,305,5.01
04-07-2023,Amaravathi,90,4047,43.76,667,107,72,44.35,690,16.48
04-07-2023,Bhavanisagar,105,32800,59,7762,117,103,56.24,6886,23.66
04-07-2023,Manimuthar,118,5511,75.09,1780,103,66,72.64,1638,32.3
04-07-2023,Mettur,120,93470,93.55,50158,2389,2352,95.03,52166,53.66
04-07-2023,Papanasam,143,5500,84.72,1486,937,957,87.46,1609,27.02
04-07-2023,Vaigai,71,6091,21.42,305,2422,2484,21.42,305,5.01
05-07-2023,Amaravathi,90,4047,43.98,676,1468,1526,44.63,701,16.7
05-07-2023,Bhavanisagar,105,32800,57.81,7377,65,67,55.6,6692,22.49
05-07-2023,Manimuthar,118,5511,74.7,1757,5004,2515,75.94,1831,31.88
05-07-2023,Mettur,120,93470,94.15,50960,1846,1813,90.5,46168,54.52
05-07-2023,Papanasam,143,5500,86.1,1547,895,974,87.99,1633,28.13
05-07-2023,Vaigai,71,6091,21.42,305,794,433,21.42,305,5.01
06-07-2023,Amaravathi,90,4047,44.02,677,626,329,43.21,646,16.73
06-07-2023,Bhavanisagar,105,32800,58.67,7655,72,77,56.85,7074,23.34
06-07-2023,Manimuthar,118,5511,75.42,1800,405,435,78.86,2012,32.66
06-07-2023,Mettur,120,93470,95.29,52525,1482,1537,93.18,49657,56.19
06-07-2023,Papanasam,143,5500,84.19,1463,437,423,80.65,1314,26.6
06-07-2023,Vaigai,71,6091,21.42,305,1872,1325,21.58,310,5.01
07-07-2023,Amaravathi,90,4047,43.56,660,177,157,43.38,653,16.31
07-07-2023,Bhavanisagar,105,32800,59.95,8081,1767,1062,62.42,8939,24.64
07-07-2023,Manimuthar,118,5511,76.06,1839,512,432,80.16,2096,33.37
07-07-2023,Mettur,120,93470,96.92,54803,104,66,96.07,53604,58.63
07-07-2023,Papanasam,143,5500,82.53,1392,3360,2315,81.82,1362,25.31
07-07-2023,Vaigai,71,6091,21.42,305,511,396,22.58,347,5.01
08-07-2023,Amaravathi,90,4047,41.69,591,2811,1767,41.77,594,14.6
08-07-2023,Bhavanisagar,105,32800,58.47,7589,1320,1400,61.24,8521,23.14
08-07-2023,Manimuthar,118,5511,74.8,1763,1691,1151,73.64,1695,31.99
08-07-2023,Mettur,120,93470,95.67,53045,6,4,94.71,51731,56.75
08-07-2023,Papanasam,143,5500,85.4,1516,54,31,87.86,1628,27.56
08-07-2023,Vaigai,71,6091,21.42,305,490,262,21.42,305,5.01
09-07-2023,Amaravathi,90,4047,44.1,680,1198,999,46.29,768,16.8
09-07-2023,Bhavanisagar,105,32800,58.08,7463,1541,1591,55.92,6789,22.75
09-07-2023,Manimuthar,118,5511,75.37,1797,162,101,76.77,1881,32.61
09-07-2023,Mettur,120,93470,95.6,52954,226,129,93.71,50374,56.65
09-07-2023,Papanasam,143,5500,81.63,1354,185,118,84.43,1473,24.62
09-07-2023,Vaigai,71,6091,21.42,305,1510,844,21.42,305,5.01
10-07-2023,Amaravathi,90,4047,43.66,663,83,71,42.53,621,16.38
10-07-2023,Bhavanisagar,105,32800,57.28,7209,425,312,57.58,7306,21.98
10-07-2023,Manimuthar,118,5511,72.44,1627,464,335,76.5,1865,29.52
10-07-2023,Mettur,120,93470,94.8,51850,658,606,93.23,49728,55.47
10-07-2023,Papanasam,143,5500,84.22,1464,21,14,86.19,1551,26.62
10-07-2023,Vaigai,71,6091,21.42,305,1158,971,21.42,305,5.01
11-07-2023,Amaravathi,90,4047,42.2,609,157,129,42.36,615,15.05
11-07-2023,Bhavanisagar,105,32800,57.25,7201,156,142,54.9,6483,21.95
11-07-2023,Manimuthar,118,5511,74.95,1772,1729,1266,78.54,1992,32.15
11-07-2023,Mettur,120,93470,95.87,53327,3211,3459,92.95,49356,57.05
11-07-2023,Papanasam,143,5500,82.95,1409,84,86,86.88,1583,25.62
11-07-2023,Vaigai,71,6091,21.42,305,1972,1893,22.2,333,5.01
12-07-2023,Amaravathi,90,4047,44.45,694,879,539,44.29,687,17.15
12-07-2023,Bhavanisagar,105,32800,58.5,7599,1432,1351,59.51,7931,23.17
12-07-2023,Manimuthar,118,5511,76.74,1880,3060,2246,78.37,1981,34.11
12-07-2023,Mettur,120,93470,91.35,47256,301,157,92.54,48810,50.56
12-07-2023,Papanasam,143,5500,83.59,1437,4,2,84.88,1493,26.13
12-07-2023,Vaigai,71,6091,21.42,305,551,561,22.48,343,5.01
13-07-2023,Amaravathi,90,4047,43.84,670,1146,937,43.29,649,16.56
13-07-2023,Bhavanisagar,105,32800,56.09,6840,152,125,53.2,5993,20.85
13-07-2023,Manimuthar,118,5511,73.02,1660,315,207,73.66,1697,30.12
13-07-2023,Mettur,120,93470,95.06,52202,628,333,92.48,48735,55.85
13-07-2023,Papanasam,143,5500,84.03,1456,363,363,86.17,1550,26.47
13-07-2023,Vaigai,71,6091,21.42,305,21,11,22.56,346,5.01
14-07-2023,Amaravathi,90,4047,45.12,720,2518,2273,42.72,628,17.79
14-07-2023,Bhavanisagar,105,32800,56.95,7107,36,23,59.95,8078,21.67
14-07-2023,Manimuthar,118,5511,74.8,1763,2497,2618,72.54,1633,31.99
14-07-2023,Mettur,120,93470,94.74,51769,140,111,100.04,59311,55.39
14-07-2023,Papanasam,143,5500,86.58,1569,2539,1411,84.53,1478,28.53
14-07-2023,Vaigai,71,6091,21.42,305,443,253,21.42,305,5.01
15-07-2023,Amaravathi,90,4047,42.82,632,555,574,40.65,555,15.62
15-07-2023,Bhavanisagar,105,32800,56.3,6906,2764,1966,53.08,5959,21.05
15-07-2023,Manimuthar,118,5511,75.43,1800,462,409,75.59,1810,32.66
15-07-2023,Mettur,120,93470,95.68,53059,249,224,98.61,57224,56.77
15-07-2023,Papanasam,143,5500,83.03,1413,560,447,83.45,1431,25.69
15-07-2023,Vaigai,71,6091,21.42,305,153,99,21.42,305,5.01
16-07-2023,Amaravathi,90,4047,45.14,721,487,372,45.86,750,17.82
16-07-2023,Bhavanisagar,105,32800,57.99,7435,2657,1553,59.78,8023,22.67
16-07-2023,Manimuthar,118,5511,74.27,1732,866,478,74.23,1730,31.43
16-07-2023,Mettur,120,93470,96.6,54339,412,362,98.12,56515,58.14
16-07-2023,Papanasam,143,5500,86.17,1550,932,789,82.03,1371,28.18
16-07-2023,Vaigai,71,6091,21.42,305,663,546,21.47,306,5.01
17-07-2023,Amaravathi,90,4047,43.9,672,1340,697,44.38,691,16.6
17-07-2023,Bhavanisagar,105,32800,57.05,7137,103,112,56.23,6884,21.76
17-07-2023,Manimuthar,118,5511,77.15,1905,2404,2495,75.62,1812,34.57
17-07-2023,Mettur,120,93470,93.35,49895,690,382,97,54913,53.38
17-07-2023,Papanasam,143,5500,82.31,1383,583,416,82.22,1379,25.15
17-07-2023,Vaigai,71,6091,21.42,305,7,3,21.42,305,5.01
18-07-2023,Amaravathi,90,4047,43.79,668,384,300,42.9,635,16.51
18-07-2023,Bhavanisagar,105,32800,57.67,7332,889,546,55.14,6553,22.35
18-07-2023,Manimuthar,118,5511,77.61,1933,373,201,77.66,1936,35.08
18-07-2023,Mettur,120,93470,93.2,49682,37,31,95.15,52329,53.15
18-07-2023,Papanasam,143,5500,84.38,1471,12,9,87.54,1612,26.75
18-07-2023,Vaigai,71,6091,21.42,305,206,213,22.48,344,5.01
19-07-2023,Amaravathi,90,4047,43.29,649,102,59,40.76,558,16.04
19-07-2023,Bhavanisagar,105,32800,59.81,8031,2503,2629,62.49,8964,24.48
19-07-2023,Manimuthar,118,5511,75.3,1793,828,416,71.5,1575,32.53
19-07-2023,Mettur,120,93470,94.02,50791,15,12,90.86,46624,54.34
19-07-2023,Papanasam,143,5500,85.81,1534,1362,1100,83.17,1419,27.89
19-07-2023,Vaigai,71,6091,21.42,305,3352,3564,21.42,305,5.01
20-07-2023,Amaravathi,90,4047,44.79,707,110,117,46.02,757,17.47
20-07-2023,Bhavanisagar,105,32800,59.82,8035,64,44,58.46,7586,24.5
20-07-2023,Manimuthar,118,5511,73.96,1714,700,473,71.93,1599,31.1
20-07-2023,Mettur,120,93470,93.05,49495,1056,773,97.75,55980,52.95
20-07-2023,Papanasam,143,5500,88.42,1653,8063,7147,90.44,1750,30.05
20-07-2023,Vaigai,71,6091,21.42,305,1476,1524,22.3,337,5.01
21-07-2023,Amaravathi,90,4047,44.22,685,913,809,45.91,752,16.93
21-07-2023,Bhavanisagar,105,32800,59.02,7769,908,647,56.44,6949,23.69
21-07-2023,Manimuthar,118,5511,73.11,1665,1831,1074,73.07,1663,30.21
21-07-2023,Mettur,120,93470,96,53509,133,93,91.38,47304,57.25
21-07-2023,Papanasam,143,5500,82.14,1375,608,433,85.14,1505,25
21-07-2023,Vaigai,71,6091,21.42,305,511,488,21.42,305,5.01
22-07-2023,Amaravathi,90,4047,44.27,687,1074,915,45.98,755,16.98
22-07-2023,Bhavanisagar,105,32800,59.88,8056,433,250,57.64,7323,24.56
22-07-2023,Manimuthar,118,5511,75.05,1778,1136,861,70.53,1522,32.26
22-07-2023,Mettur,120,93470,96.64,54397,1529,1273,96.98,54881,58.2
22-07-2023,Papanasam,143,5500,84.79,1489,549,296,86.62,1570,27.07
22-07-2023,Vaigai,71,6091,21.42,305,1529,1604,21.42,305,5.01
23-07-2023,Amaravathi,90,4047,43.38,653,67,61,43.55,659,16.14
23-07-2023,Bhavanisagar,105,32800,58.9,7730,244,165,59.9,8061,23.57
23-07-2023,Manimuthar,118,5511,75.57,1809,934,821,71.9,1597,32.83
23-07-2023,Mettur,120,93470,92.72,49054,249,138,96.99,54900,52.48
23-07-2023,Papanasam,143,5500,84.44,1474,42,27,82.94,1409,26.8
23-07-2023,Vaigai,71,6091,21.42,305,2692,1590,21.42,305,5.01
24-07-2023,Amaravathi,90,4047,42.87,634,872,902,42.85,633,15.67
24-07-2023,Bhavanisagar,105,32800,60.3,8196,405,402,58.1,7469,24.99
24-07-2023,Manimuthar,118,5511,76.11,1841,206,159,75.75,1820,33.41
24-07-2023,Mettur,120,93470,95.6,52950,372,263,98.14,56540,56.65
24-07-2023,Papanasam,143,5500,84.37,1471,26,22,83.47,1432,26.75
24-07-2023,Vaigai,71,6091,21.42,305,577,575,22,326,5.01
25-07-2023,Amaravathi,90,4047,43.22,647,1567,1161,41.08,570,15.99
25-07-2023,Bhavanisagar,105,32800,59.42,7900,569,557,57.07,7142,24.09
25-07-2023,Manimuthar,118,5511,74.74,1759,1498,1490,77.01,1896,31.92
25-07-2023,Mettur,120,93470,96.58,54315,2046,2111,99.74,58875,58.11
25-07-2023,Papanasam,143,5500,87.27,1600,2294,1834,89.42,1700,29.09
25-07-2023,Vaigai,71,6091,21.42,305,211,225,21.42,305,5.01
26-07-2023,Amaravathi,90,4047,42.87,634,1139,1077,40.46,548,15.67
26-07-2023,Bhavanisagar,105,32800,59.95,8078,23,21,58.6,7632,24.63
26-07-2023,Manimuthar,118,5511,73.9,1711,386,350,75.67,1815,31.05
26-07-2023,Mettur,120,93470,93.8,50494,158,164,94.99,52106,54.02
26-07-2023,Papanasam,143,5500,85.61,1525,1148,1196,80.61,1312,27.73
26-07-2023,Vaigai,71,6091,21.42,305,624,470,21.42,305,5.01
27-07-2023,Amaravathi,90,4047,43.24,648,224,148,43.49,657,16.01
27-07-2023,Bhavanisagar,105,32800,57.14,7166,51,44,55.32,6609,21.85
27-07-2023,Manimuthar,118,5511,74.56,1749,3017,2329,75.73,1818,31.74
27-07-2023,Mettur,120,93470,95.55,52878,8,4,97.4,55472,56.57
27-07-2023,Papanasam,143,5500,83.15,1418,533,483,78.96,1246,25.78
27-07-2023,Vaigai,71,6091,21.42,305,399,245,21.42,305,5.01
28-07-2023,Amaravathi,90,4047,43.94,674,395,384,43.99,676,16.65
28-07-2023,Bhavanisagar,105,32800,57.6,7312,143,97,54.66,6412,22.29
28-07-2023,Manimuthar,118,5511,73.06,1662,556,459,76.86,1887,30.16
28-07-2023,Mettur,120,93470,98.56,57148,949,602,101.03,60785,61.14
28-07-2023,Papanasam,143,5500,85.49,1520,515,561,80.75,1318,27.64
28-07-2023,Vaigai,71,6091,21.42,305,1439,1210,22.4,340,5.01
29-07-2023,Amaravathi,90,4047,43.15,644,123,116,42.61,624,15.91
29-07-2023,Bhavanisagar,105,32800,58.23,7512,2175,1095,58.12,7476,22.9
29-07-2023,Manimuthar,118,5511,75.05,1778,410,446,75.43,1800,32.26
29-07-2023,Mettur,120,93470,96,53510,243,168,98.78,57467,57.25
29-07-2023,Papanasam,143,5500,84.23,1464,1138,965,84.23,1465,26.62
29-07-2023,Vaigai,71,6091,21.42,305,910,831,21.85,320,5.01
30-07-2023,Amaravathi,90,4047,43.6,661,619,436,42.22,610,16.33
30-07-2023,Bhavanisagar,105,32800,58.02,7445,2344,1399,61.14,8486,22.7
30-07-2023,Manimuthar,118,5511,73.77,1703,137,105,69.34,1459,30.9
30-07-2023,Mettur,120,93470,96.91,54789,964,810,92,48110,58.62
30-07-2023,Papanasam,143,5500,84.97,1497,269,280,84.24,1465,27.22
30-07-2023,Vaigai,71,6091,21.42,305,65,66,22.12,330,5.01
31-07-2023,Amaravathi,90,4047,42.99,638,457,233,44.36,690,15.76
31-07-2023,Bhavanisagar,105,32800,57.6,7310,207,195,57.92,7412,22.29
31-07-2023,Manimuthar,118,5511,73.95,1713,529,578,75.43,1801,31.08
31-07-2023,Mettur,120,93470,95.89,53350,412,271,92.87,49253,57.08
31-07-2023,Papanasam,143,5500,85.52,1521,1514,1110,89.02,1681,27.65
31-07-2023,Vaigai,71,6091,21.42,305,253,243,21.42,305,5.01
01-08-2023,Amaravathi,90,4047,52.87,1070,2185,1739,50.94,976,26.44
01-08-2023,Bhavanisagar,105,32800,68.88,11432,994,613,66.03,10288,34.85
01-08-2023,Manimuthar,118,5511,87.48,2608,832,558,91.48,2916,47.32
01-08-2023,Mettur,120,93470,111.74,78205,2893,2542,115.59,85122,83.67
01-08-2023,Papanasam,143,5500,98.03,2140,1363,837,96.98,2083,38.91
01-08-2023,Vaigai,71,6091,21.42,305,2184,1097,21.42,305,5.01
02-08-2023,Amaravathi,90,4047,52.51,1052,1737,1597,50.87,972,25.99
02-08-2023,Bhavanisagar,105,32800,69.66,11757,3227,2248,68.57,11306,35.84
02-08-2023,Manimuthar,118,5511,88.41,2678,260,201,89.34,2748,48.59
02-08-2023,Mettur,120,93470,112.36,79298,907,767,112.26,79120,84.84
02-08-2023,Papanasam,143,5500,99.79,2238,242,124,96.25,2044,40.69
02-08-2023,Vaigai,71,6091,21.42,305,1586,940,21.8,318,5.01
03-08-2023,Amaravathi,90,4047,52.32,1043,1665,1022,51.96,1025,25.77
03-08-2023,Bhavanisagar,105,32800,68.07,11099,3949,3722,68.86,11423,33.84
03-08-2023,Manimuthar,118,5511,89.52,2763,342,248,92.58,3005,50.14
03-08-2023,Mettur,120,93470,112.78,80042,428,220,114.73,83535,85.63
03-08-2023,Papanasam,143,5500,97.39,2105,904,586,99.52,2222,38.27
03-08-2023,Vaigai,71,6091,21.42,305,204,124,21.42,305,5.01
